url,title,published,author,categories,audio_links
https://www.liberafolio.org/2020/01/03/tejo-decidis-ne-publikigi-la-membronombron/,TEJO decidis ne publikigi la membronombron,2020-01-03T07:52:01+01:00,,"TEJO,movado",
https://www.liberafolio.org/2020/01/15/mankas-kandidato-por-organizi-ijk-n-en-2021/,Mankas kandidato por organizi IJK-n en 2021,2020-01-15T07:24:40+01:00,,"TEJO,movado",
https://www.liberafolio.org/2020/01/20/virinaj-vocoj-mankas-en-esperanta-datumaro/,Virinaj voĉoj mankas en Esperanta datumaro,2020-01-20T07:50:44+01:00,,"interreto,movado",
https://www.liberafolio.org/2020/01/29/ciutagaj-novajoj-de-la-mondo-nun-en-esperanto/,Ĉiutagaj novaĵoj de la mondo nun en Esperanto,2020-01-29T10:12:15+01:00,,"interreto,kulturo",
https://www.liberafolio.org/2020/02/02/la-esperanta-civito-invitas-ijk-n-2021-al-si/,La Esperanta Civito invitas IJK-n 2021 al si,2020-02-02T12:32:22+01:00,,"TEJO,movado",
https://www.liberafolio.org/2020/02/11/lasta-tradicie-presita-piv-aperos-en-2020/,Lasta tradicie presita PIV aperos en 2020,2020-02-11T07:54:30+01:00,,"interreto,kulturo",
https://www.liberafolio.org/2020/02/18/uea-elspezas-milojn-por-informado-sen-rezulto/,UEA elspezas milojn por informado sen rezulto,2020-02-18T08:07:58+01:00,,"UEA,movado",
https://www.liberafolio.org/2020/02/26/uea-kasas-informojn-pri-siaj-fondajoj/,UEA kaŝas informojn pri siaj fondaĵoj,2020-02-26T07:50:53+01:00,,"UEA,movado",
https://www.liberafolio.org/2020/03/03/esperantistoj-ciam-trovos-ion-por-kolekti/,Esperantistoj ĉiam trovos ion por kolekti,2020-03-03T13:43:00+01:00,,kulturo,
https://www.liberafolio.org/2020/03/07/nova-malrekordo-uea-plu-srumpas/,Nova malrekordo: UEA plu ŝrumpas,2020-03-07T12:42:42+01:00,,"UEA,movado",
https://www.liberafolio.org/2020/03/11/esperantistoj-rakontas-pri-siaj-urboj-en-filmkonkurso-de-uea/,Esperantistoj rakontas pri siaj urboj en filmkonkurso de UEA,2020-03-11T08:28:32+01:00,,"UEA,kulturo",
https://www.liberafolio.org/2020/03/14/la-viruso-nuligas-esperantistajn-arangojn/,La viruso nuligas esperantistajn aranĝojn,2020-03-14T12:11:18+01:00,,movado,
https://www.liberafolio.org/2020/03/20/kursoj-kaj-legajoj-proponataj-al-kvarantenuloj/,Kursoj kaj legaĵoj proponataj al kvarantenuloj,2020-03-20T07:54:10+01:00,,"interreto,kulturo,movado",
https://www.liberafolio.org/2020/03/23/kronvirusaj-spertoj-el-13-landoj-en-esperanto/,Kronvirusaj spertoj el 13 landoj en Esperanto,2020-03-23T12:10:13+01:00,,"TEJO,interreto,kulturo",
https://www.liberafolio.org/2020/03/23/tejo-kaj-kontakto-kreskis-en-2019/,TEJO kaj Kontakto kreskis en 2019,2020-03-23T15:00:55+01:00,,"TEJO,UEA,movado",
https://www.liberafolio.org/2020/03/31/kie-estas-la-duolinganoj/,Kie estas la Duolinganoj?,2020-03-31T07:49:52+02:00,,vidpunkto,
https://www.liberafolio.org/2020/04/01/estraro-rekomendas-fermi-la-buson/,Estraro rekomendas fermi la buŝon,2020-04-01T09:02:53+02:00,,"UEA,movado",
https://www.liberafolio.org/2020/04/02/tertremo-difektis-la-zagreban-klubejon/,Tertremo difektis la Zagreban klubejon,2020-04-02T09:51:30+02:00,,movado,
https://www.liberafolio.org/2020/04/03/nuligo-minacas-al-ijk-kaj-uk/,Nuligo minacas al IJK kaj UK,2020-04-03T08:43:35+02:00,,"TEJO,UEA,movado",
https://www.liberafolio.org/2020/04/04/uea-nuligos-la-ci-jaran-universalan-kongreson/,UEA nuligos la ĉi-jaran Universalan Kongreson,2020-04-04T22:30:50+02:00,,"UEA,movado",
https://www.liberafolio.org/2020/04/12/sumoo-instigas-al-vekado-de-dormantaj-libroj/,Sumoo instigas al vekado de dormantaj libroj,2020-04-12T14:01:05+02:00,,"kulturo,movado",
https://www.liberafolio.org/2020/04/13/uea-perdos-45-000-eurojn-pro-la-nuligo-de-la-uk/,UEA perdos 45.000 eŭrojn pro la nuligo de la UK,2020-04-13T09:41:28+02:00,,"UEA,movado",
https://www.liberafolio.org/2020/04/23/eventa-servo-helpas-trovi-retajn-renkontigojn/,Eventa Servo helpas trovi retajn renkontiĝojn,2020-04-23T08:45:59+02:00,,"interreto,movado",
https://www.liberafolio.org/2020/04/25/ijk-2020-okazos-nur-en-la-reto/,IJK 2020 okazos nur en la reto,2020-04-25T14:30:01+02:00,,"TEJO,interreto,movado",
https://www.liberafolio.org/2020/04/27/forpasis-hans-erasmus/,Forpasis Hans Erasmus,2020-04-27T08:17:18+02:00,,"kulturo,movado",
https://www.liberafolio.org/2020/05/01/la-viruso-aktivigis-esperantistajn-sakemulojn/,La viruso aktivigis esperantistajn ŝakemulojn,2020-05-01T09:13:20+02:00,,movado,
https://www.liberafolio.org/2020/05/04/la-estraro-forgesis-resanigi-la-financojn-de-uea/,La estraro forgesis resanigi la financojn de UEA,2020-05-04T09:14:32+02:00,,"UEA,movado",
https://www.liberafolio.org/2020/05/06/esperantistoj-trafitaj-de-inundo-en-uvira/,Esperantistoj trafitaj de inundo en Uvira,2020-05-06T10:42:22+02:00,,movado,
https://www.liberafolio.org/2020/05/11/la-akademio-distancigas-de-seksismo/,La Akademio distancigas sin de seksismo,2020-05-11T09:24:29+02:00,,"kulturo,movado",
https://www.liberafolio.org/2020/05/11/denove-demisiis-generala-sekretario-de-tejo/,Denove demisiis ĝenerala sekretario de TEJO,2020-05-11T18:45:12+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/05/18/esperanto-allogas-esploristojn-pri-internaciismo/,Esperanto allogas esploristojn pri internaciismo,2020-05-18T10:03:44+02:00,,kulturo,
https://www.liberafolio.org/2020/05/22/riismo-konkeras-la-junan-generacion/,Riismo konkeras la junan generacion,2020-05-22T07:46:09+02:00,,kulturo,
https://www.liberafolio.org/2020/05/24/ijk-2021-ne-okazos-en-koreio/,IJK 2021 ne okazos en Koreio,2020-05-24T10:05:24+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/05/27/pandemio-instigis-al-literaturaj-legadoj-en-la-reto/,Pandemio instigis al literaturaj legadoj en la reto,2020-05-27T12:25:06+02:00,,"interreto,kulturo",
https://www.liberafolio.org/2020/05/30/homo-konsterne-talenta/,Homo konsterne talenta,2020-05-30T10:59:38+02:00,,movado,
https://www.liberafolio.org/2020/06/08/amasfinancado-vivigas-retajn-projektojn/,Amasfinancado vivigas retajn projektojn,2020-06-08T08:34:04+02:00,,"UEA,interreto,movado",
https://www.liberafolio.org/2020/06/10/la-reta-ijk-okazos-tutmonde-kaj-tutdiurne/,La reta IJK okazos tutmonde kaj tutdiurne,2020-06-10T21:30:04+02:00,,"TEJO,interreto,movado",
https://www.liberafolio.org/2020/06/18/un-gravulo-inauguras-esperanto-festivalon/,UN-gravulo inaŭguras Esperanto-festivalon,2020-06-18T21:36:42+02:00,,"UEA,interreto,movado",
https://www.liberafolio.org/2020/06/22/izoligo-instigis-al-kurso-de-esperanto-per-zoom/,Izoliĝo instigis al kurso de Esperanto per Zoom,2020-06-22T07:00:19+02:00,,"interreto,movado",
https://www.liberafolio.org/2020/06/29/ne-mankas-kandidatoj-por-la-estraro-de-tejo/,Ne mankas kandidatoj por la estraro de TEJO,2020-06-29T11:56:09+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/06/30/charlotte-burton-tejo-bezonas-pli-da-aktivaj-estraranoj/,Charlotte Burton: ”TEJO bezonas pli da aktivaj estraranoj”,2020-06-30T06:53:52+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/06/30/reta-festivalo-okazadas-cie-kaj-nenie/,Reta festivalo okazadas ĉie kaj nenie,2020-06-30T11:44:34+02:00,,"UEA,interreto,movado",
https://www.liberafolio.org/2020/07/01/carlos-pesquera-alonso-mi-pensas-ke-indas-fortigi-la-landajn-sekciojn/,Carlos Pesquera Alonso: ”Mi pensas ke indas fortigi la landajn sekciojn”,2020-07-01T11:25:01+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/02/rogier-huurman-la-tejo-estraro-ne-estu-senvizaga-institucio/,Rogier Huurman: ”La TEJO-estraro ne estu senvizaĝa institucio”,2020-07-02T11:03:55+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/03/robert-nielsen-granda-problemo-de-tejo-estas-la-emo-ignori-problemojn/,Robert Nielsen: ”Granda problemo de TEJO estas la emo ignori problemojn”,2020-07-03T11:32:28+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/04/nicolas-kasolene-kakule-diverseco-de-kulturoj-estas-la-plej-granda-forto/,Nicolas Kasolene Kakule: ”Diverseco de kulturoj estas la plej granda forto”,2020-07-04T10:35:44+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/05/klara-ertl-kio-gravas-estas-kion-ni-realigas-kune/,Klára Ertl: ”Gravas kion ni realigas kune”,2020-07-05T13:10:05+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/06/manuela-burghelea-mi-satus-krei-spacojn-por-regulaj-intersangoj-ankau-por-virinoj/,Manuela Burghelea: ”Mi ŝatus krei spacojn por regulaj interŝanĝoj ankaŭ por virinoj”,2020-07-06T09:48:44+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/07/tomas-stano-mi-satus-helpi-pri-financa-administrado-kaj-homrimedaj-taskoj/,Tomáš Stano: ”Mi ŝatus helpi pri financa administrado kaj homrimedaj taskoj”,2020-07-07T11:05:54+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/07/reta-enketo-de-un-kalkulas-esperantistojn/,Reta enketo de UN kalkulas esperantistojn,2020-07-07T11:43:38+02:00,,vidpunkto,
https://www.liberafolio.org/2020/07/08/konstanze-schonfeld-prioritatas-garantii-dau%cc%86ripovecon-de-nia-agado/,Konstanze Schönfeld: ”Prioritatas garantii daŭripovecon de nia agado”,2020-07-08T10:36:03+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/09/charlotte-scherping-larsson-tejo-havu-entuziasman-kaj-laboreman-prezidanton/,Charlotte Scherping Larsson: ”TEJO havu entuziasman kaj laboreman prezidanton”,2020-07-09T10:15:58+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/12/eu-esploras-la-membronombron-de-tejo/,EU esploras la membronombron de TEJO,2020-07-12T20:53:48+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/14/tejo-la-esploro-de-eu-ne-havos-konsekvencojn/,TEJO: La esploro de EU ne havos konsekvencojn,2020-07-14T13:35:55+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/15/charlotte-scherping-larsson-estas-la-nova-prezidanto-de-tejo/,Charlotte Scherping Larsson estros en TEJO,2020-07-15T15:44:55+02:00,,"TEJO,interreto,movado",
https://www.liberafolio.org/2020/07/18/la-sekva-ijk-okazos-en-ukrainio/,La sekva IJK okazos en Ukrainio,2020-07-18T12:21:29+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/21/tejo-donos-proksimuman-informon-pri-la-nekonata-membronombro-de-la-asocio/,TEJO donos ”proksimuman informon” pri la nekonata membronombro de la asocio,2020-07-21T10:14:32+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/07/25/duolingo-nun-ankau-por-franclingvanoj/,Duolingo nun ankaŭ por franclingvanoj,2020-07-25T13:16:48+02:00,,"interreto,movado",
https://www.liberafolio.org/2020/07/25/batalo-pri-la-domo-de-bonaeraj-esperantistoj/,Batalo pri la domo de Bonaeraj esperantistoj,2020-07-25T16:33:01+02:00,,movado,
https://www.liberafolio.org/2020/07/27/amikumu-igos-pli-malferma-al-siaj-amikoj/,Amikumu iĝos pli malferma al siaj amikoj,2020-07-27T07:52:14+02:00,,"interreto,movado",
https://www.liberafolio.org/2020/08/04/antonia-montaro-la-reta-ijk-superis-la-atendojn/,Antonia Montaro: La reta IJK superis la atendojn,2020-08-04T06:52:28+02:00,,vidpunkto,
https://www.liberafolio.org/2020/08/04/la-ondo-dufoje-cesis-aperi-sed-ne-malaperis/,La Ondo dufoje ĉesis aperi – sed ne malaperis,2020-08-04T07:33:05+02:00,,kulturo,
https://www.liberafolio.org/2020/08/05/nova-piv-prezentita-dum-reta-sat-kongreso/,Nova PIV prezentita dum reta SAT-kongreso,2020-08-05T09:37:27+02:00,,"interreto,kulturo,movado",
https://www.liberafolio.org/2020/08/06/virtuala-kongreso-malfermas-novan-pordon/,Virtuala kongreso malfermas novan pordon,2020-08-06T11:00:17+02:00,,"UEA,interreto,movado",
https://www.liberafolio.org/2020/08/07/uea-jam-pagis-70-000-eurojn-por-nova-retejo/,UEA jam pagis 70 000 eŭrojn por nova retejo,2020-08-07T08:22:17+02:00,,"UEA,interreto,movado",
https://www.liberafolio.org/2020/08/09/perturba-raporto-pri-uea-baldau-igos-publika/,Financa plano tro timigis la estraron de UEA,2020-08-09T14:48:00+02:00,,"UEA,movado",
https://www.liberafolio.org/2020/08/11/uea-esperas-ke-subvencioj-forigos-la-deficiton/,UEA esperas ke subvencioj forigos la deficiton,2020-08-11T07:28:37+02:00,,"UEA,movado",
https://www.liberafolio.org/2020/08/15/esploristoj-enmetis-esperanton-en-dna/,Esploristoj enmetis Esperanton en DNA,2020-08-15T11:41:51+02:00,,kulturo,
https://www.liberafolio.org/2020/08/16/financaj-rekomendoj-perturbis-komitatanojn/,Financaj rekomendoj perturbis komitatanojn,2020-08-16T15:23:48+02:00,,"UEA,movado,vidpunkto",
https://www.liberafolio.org/2020/08/18/la-komitato-de-uea-ne-aprobis-la-bugeton/,La komitato de UEA ne aprobis la buĝeton,2020-08-18T07:13:38+02:00,,"UEA,movado",
https://www.liberafolio.org/2020/08/20/la-tempo-de-la-paroladoj-de-fettes-jam-pasis/,La tempo de la paroladoj de Fettes jam pasis,2020-08-20T07:50:07+02:00,,vidpunkto,
https://www.liberafolio.org/2020/08/25/cu-vere-esperanto-estas-facila-lingvo/,Ĉu vere Esperanto estas facila lingvo?,2020-08-25T10:16:03+02:00,,"kulturo,movado",
https://www.liberafolio.org/2020/08/31/cu-vere-esperanto-inter-pintaj-lingvoj-en-twitter/,Ĉu vere Esperanto inter pintaj lingvoj en Twitter?,2020-08-31T07:58:44+02:00,,interreto,
https://www.liberafolio.org/2020/09/01/kritikaj-vidpunktoj-kasitaj-post-enketo-de-uea/,Kritikaj vidpunktoj kaŝitaj post enketo de UEA,2020-09-01T07:42:41+02:00,,"TEJO,UEA,movado",
https://www.liberafolio.org/2020/09/06/la-rezultoj-de-la-belartaj-konkursoj-2020/,La rezultoj de la Belartaj Konkursoj 2020,2020-09-06T22:12:02+02:00,,kulturo,
https://www.liberafolio.org/2020/09/07/uea-planas-ludoni-almenau-parton-de-la-co/,UEA planas ludoni almenaŭ parton de la CO,2020-09-07T08:32:02+02:00,,"UEA,movado",
https://www.liberafolio.org/2020/09/09/forpasis-zlatko-tisljar/,Forpasis Zlatko Tišljar,2020-09-09T08:17:17+02:00,,movado,
https://www.liberafolio.org/2020/09/09/la-rolo-de-mezkapabluloj-en-esperanto-movado/,La rolo de mezkapabluloj en Esperanto-movado,2020-09-09T08:30:41+02:00,,vidpunkto,
https://www.liberafolio.org/2020/09/14/kvar-autoroj-renkontos-sian-publikon/,Kvar aŭtoroj renkontos sian publikon,2020-09-14T16:02:26+02:00,,kulturo,
https://www.liberafolio.org/2020/09/16/la-nova-estraro-de-tejo-strebas-al-travideblo/,La nova estraro de TEJO strebas al travideblo,2020-09-16T08:17:57+02:00,,"TEJO,movado",
https://www.liberafolio.org/2020/09/22/anonimulo-kolektas-sekretojn-de-esperantistoj/,Anonimulo kolektas sekretojn de esperantistoj,2020-09-22T07:17:24+02:00,,"interreto,kulturo",
https://www.liberafolio.org/2020/09/28/bertilo-ne-intencas-igi-verda-papo/,Bertilo ne intencas iĝi verda papo,2020-09-28T07:32:47+02:00,,movado,
https://www.liberafolio.org/2020/09/29/amikumu-perdis-la-vizagojn/,Amikumu perdis la vizaĝojn,2020-09-29T20:40:51+02:00,,interreto,
https://www.liberafolio.org/2020/10/06/pola-radio-jam-milfoje-elsendis-en-la-reto/,Pola Radio jam milfoje elsendis en la reto,2020-10-06T08:05:39+02:00,,kulturo,
https://www.liberafolio.org/2020/10/13/vortotrezoro-trovita-en-la-malantauo-de-auto/,Vortotrezoro trovita en la malantaŭo de aŭto,2020-10-13T07:49:55+02:00,,kulturo,
https://www.liberafolio.org/2020/10/20/unikaj-manuskriptoj-en-esperanto-retrovitaj/,Unikaj manuskriptoj en Esperanto retrovitaj,2020-10-20T08:27:38+02:00,,kulturo,
https://www.liberafolio.org/2020/10/25/uea-ne-havas-monon-por-pensioj-de-oficistoj/,UEA ne havas monon por pensioj de oficistoj,2020-10-25T11:42:40+01:00,,"UEA,movado",
https://www.liberafolio.org/2020/10/30/tutmondaj-vocoj-en-esperanto-igis-pli-tutmondaj/,Tutmondaj Voĉoj en Esperanto iĝis pli tutmondaj,2020-10-30T06:49:40+01:00,,"interreto,kulturo",
https://www.liberafolio.org/2020/11/03/nova-socia-retejo-nur-por-esperantistoj/,Nova socia retejo nur por esperantistoj,2020-11-03T07:13:13+01:00,,interreto,
https://www.liberafolio.org/2020/11/10/la-akademio-refunkciigas-sian-retejon/,La Akademio refunkciigas sian retejon,2020-11-10T07:40:09+01:00,,"interreto,movado",
https://www.liberafolio.org/2020/11/10/demisiis-tejo-estrarano-robert-nielsen/,Demisiis TEJO-estrarano Robert Nielsen,2020-11-10T21:56:37+01:00,,"TEJO,movado",
https://www.liberafolio.org/2020/11/16/denuncinto-de-tejo-strebas-al-fina-venko/,Denuncinto de TEJO strebas al Fina Venko,2020-11-16T09:44:17+01:00,,"TEJO,movado",
https://www.liberafolio.org/2020/11/17/mia-seniluziigo-kiel-tejo-estrarano/,Mia seniluziiĝo kiel TEJO-estrarano,2020-11-17T08:03:26+01:00,,vidpunkto,
https://www.liberafolio.org/2020/11/20/asocioj-estas-por-pacienculoj/,Asocioj estas por pacienculoj,2020-11-20T07:05:09+01:00,,vidpunkto,
https://www.liberafolio.org/2020/11/23/tejo-ano-estros-ce-forumo-junulara-europa/,TEJO-ano estros ĉe Forumo Junulara Eŭropa,2020-11-23T13:12:30+01:00,,"TEJO,movado",
https://www.liberafolio.org/2020/11/30/esperantista-urbestro-volas-verdigi-la-municipon/,Esperantista urbestro volas verdigi la municipon,2020-11-30T19:45:42+01:00,,movado,
https://www.liberafolio.org/2020/11/30/albert-stalin-garrido-elektita-estrarano-de-tejo/,Albert Stalin Garrido elektita estrarano de TEJO,2020-11-30T20:38:21+01:00,,"TEJO,movado",
https://www.liberafolio.org/2020/12/03/pliaj-23-500-euroj-por-iam-kompletigota-retejo/,Pliaj 23 500 eŭroj por iam kompletigota retejo,2020-12-03T07:46:31+01:00,,"TEJO,UEA,interreto,movado",
https://www.liberafolio.org/2020/12/07/tejo-volas-labori-por-pli-da-egaleco/,TEJO volas labori por pli da egaleco,2020-12-07T10:45:58+01:00,,movado,
https://www.liberafolio.org/2020/12/07/netflix-faris-filmon-pri-esperanta-respubliko/,Netflix faris filmon pri Esperanta respubliko,2020-12-07T20:14:44+01:00,,movado,
https://www.liberafolio.org/2020/12/08/manko-de-fido-kaj-mono-genas-al-uea-kaj-tejo/,Manko de fido kaj mono ĝenas al UEA kaj TEJO,2020-12-08T08:57:04+01:00,,"TEJO,UEA,movado",
https://www.liberafolio.org/2020/12/10/legorondo-logas-libremulojn-el-ciuj-kontinentoj/,Legorondo logas libremulojn el ĉiuj kontinentoj,2020-12-10T07:59:31+01:00,,"interreto,kulturo,movado",
https://www.liberafolio.org/2020/12/11/esperanto-aperas-duonkase-en-filmo-de-netflix/,Esperanto aperas duonkaŝe en filmo de Netflix,2020-12-11T07:07:07+01:00,,movado,
https://www.liberafolio.org/2020/12/15/bjalistoko-memoris-pri-zamenhof-kun-maskoj/,Bjalistoko memoris pri Zamenhof kun maskoj,2020-12-15T07:27:00+01:00,,"kulturo,movado",
https://www.liberafolio.org/2020/12/16/107-homoj-aligis-al-la-uk-en-belfasto/,107 homoj aliĝis al la UK en Belfasto,2020-12-16T08:28:04+01:00,,movado,
https://www.liberafolio.org/2020/12/20/degeneras/,Ĉu Esperanto degeneras?,2020-12-20T08:54:28+01:00,,"interreto,kulturo,movado",
https://www.liberafolio.org/2020/12/20/uk-en-2023-okazos-en-torino-italio/,"UK en 2023 okazos en Torino, Italio",2020-12-20T12:05:24+01:00,,"UEA,movado",
https://www.liberafolio.org/2020/12/28/esperantistoj-batalas-kontrau-japana-revuo/,Esperantistoj batalas kontraŭ japana revuo,2020-12-28T08:18:46+01:00,,"UEA,kulturo,movado",
https://www.liberafolio.org/2020/12/31/la-sanmarina-ais-estas-malfondita/,La Sanmarina AIS estas malfondita,2020-12-31T17:42:54+01:00,,"kulturo,movado",
